transaction_amount,hour_of_day,day_of_week,transaction_count_24h,avg_transaction_amount_30d,deviation_from_avg,unique_recipients_24h,is_new_recipient,is_anomaly
72918.09,21,4,2,107442.31,-0.3213,1,1,0
489597.59,16,0,3,152445.65,2.2116,2,0,0
64293.47,8,0,5,46441.8,0.3844,0,0,0
140795.78,7,0,3,113095.97,0.2449,1,0,0
173148.52,4,3,2,68297.88,1.5352,1,0,0
100897.49,20,3,5,152553.0,-0.3386,5,0,0
94392.43,16,6,2,64295.57,0.4681,3,0,0
308974.47,1,3,5,9456.07,31.6714,1,0,0
237518.78,10,2,5,109916.25,1.1609,1,0,0
112047.21,18,5,3,125250.9,-0.1054,1,0,0
7503.83,21,4,4,33056.94,-0.773,2,0,0
20367.12,17,3,0,139038.47,-0.8535,0,0,0
28978.26,14,1,2,101829.24,-0.7154,1,0,0
96986.5,4,5,2,98116.27,-0.0115,1,1,0
1964357.58,13,6,4,94805.52,19.7197,1,1,0
5145.87,21,3,5,30486.98,-0.8312,1,1,0
61634.94,7,2,8,312338.91,-0.8027,5,0,0
2518264.56,4,2,0,98965.85,24.4455,0,0,1
19890.11,12,3,5,115300.53,-0.8275,1,0,0
23437.05,4,0,3,63970.75,-0.6336,1,0,0
14000.51,23,1,1,127378.02,-0.8901,3,0,0
50797.5,10,1,4,301943.26,-0.8318,1,0,0
448936.81,7,3,2,365239.34,0.2292,0,1,0
7244.19,17,3,4,29270.29,-0.7525,2,0,0
36534.61,20,6,4,23418.04,0.5601,0,1,0
11378.79,6,0,3,27819.84,-0.591,0,1,0
185541.79,4,4,3,31687.04,4.8553,0,0,1
40599.6,10,0,2,36358.85,0.1166,0,0,0
116265.27,1,2,4,91968.85,0.2642,0,0,0
125432.61,8,5,3,126040.54,-0.0048,3,0,0
429767.29,21,6,1,36558.4,10.7553,3,0,0
9568.91,19,4,2,38106.6,-0.7489,1,0,0
4842.51,10,0,1,19507.33,-0.7517,1,0,0
43707.06,1,2,2,247462.66,-0.8234,0,0,0
110786.18,10,5,1,70608.72,0.569,0,1,0
6215.04,15,5,2,263325.39,-0.9764,1,0,0
11139.8,3,2,2,195590.69,-0.943,4,0,0
327426.63,21,6,1,24376.74,12.4314,1,0,0
105250.51,14,2,7,17552.25,4.9961,2,0,0
292395.16,19,3,4,145995.93,1.0028,1,0,0
256215.76,17,2,2,221753.82,0.1554,0,1,0
76338.91,8,4,2,230715.11,-0.6691,2,0,0
56985.58,19,6,8,166512.43,-0.6578,2,1,0
11517.06,13,5,3,187261.11,-0.9385,0,0,0
136336.99,5,2,3,90843.93,0.5008,4,0,0
102662.08,7,4,4,33557.46,2.0592,3,0,0
61623.94,13,0,1,289774.17,-0.7873,3,0,0
170037.42,13,5,1,63373.85,1.6831,3,1,0
57835.68,16,3,3,204870.32,-0.7177,2,1,0
48204.36,13,0,3,85762.33,-0.4379,1,0,0
26755.02,6,0,1,303037.99,-0.9117,2,0,0
11759.42,2,1,2,16740.83,-0.2975,0,1,0
87746.73,6,4,2,190392.83,-0.5391,1,0,0
126299.48,4,0,4,37053.76,2.4085,0,0,0
27884.17,19,5,3,103393.33,-0.7303,0,0,0
503231.59,23,6,3,11896.28,41.2981,0,0,1
28201.02,1,2,2,136385.28,-0.7932,2,0,0
4989.49,16,2,2,58179.71,-0.9142,2,0,0
1452118.3,22,2,2,39932.3,35.3636,0,1,0
64161.64,8,0,4,76498.05,-0.1613,1,0,0
46273.04,8,3,5,142288.94,-0.6748,1,0,0
360934.3,15,4,7,213350.77,0.6917,2,0,0
62026.73,7,2,1,323745.12,-0.8084,3,1,0
10292.7,13,2,3,158673.14,-0.9351,1,0,0
9698.06,1,3,4,25445.56,-0.6188,2,1,0
50463.63,0,2,4,36417.72,0.3857,1,0,0
65927.97,15,0,2,431675.6,-0.8473,2,0,0
854613.01,12,3,1,55805.13,14.314,2,0,0
58977.26,8,1,4,36496.82,0.6159,3,0,0
100161.49,13,5,4,54140.18,0.85,0,0,0
